word,index
sense,577
honourable,578
sport,579
slave,580
children,581
behind,582
conscience,583
kings,584
whole,585
door,586
pretty,587
suffolk,588
soft,589
quickly,590
fortunes,591
spirits,592
troilus,593
rage,594
win,595
town,596
loss,597
seems,598
count,599
buckingham,600
speed,601
anon,602
begin,603
write,604
mighty,605
bless,606
often,607
hair,608
entreat,609
battle,610
lordship,611
margaret,612
saint,613
strength,614
second,615
banish,616
along,617
excellent,618
learn,619
talbot,620
offence,621
friar,622
issue,623
whilst,624
longer,625
besides,626
drum,627
hamlet,628
masters,629
kate,630
white,631
living,632
marriage,633
vile,634
tale,635
enemies,636
passion,637
guard,638
hundred,639
presence,640
teach,641
princes,642
offer,643
dies,644
pompey,645
nurse,646
morrow,647
valour,648
loving,649
souls,650
awhile,651
lion,652
fashion,653
died,654
parts,655
paris,656
heir,657
labour,658
bears,659
heads,660
plain,661
hide,662
scorn,663
emperor,664
antonio,665
ford,666
close,667
action,668
deeds,669
noise,670
going,671
jest,672
danger,673
dangerous,674
grant,675
lack,676
reads,677
curse,678
london,679
poison,680
takes,681
force,682
hadst,683
feast,684
fools,685
cast,686
suffer,687
feel,688
throw,689
chance,690
adieu,691
laugh,692
kingdom,693
understand,694
promise,695
went,696
judgment,697
mock,698
pride,699
case,700
shows,701
quick,702
shake,703
whether,704
woo,705
roman,706
doctor,707
marcius,708
wisdom,709
title,710
gates,711
somerset,712
paper,713
angelo,714
move,715
respect,716
angry,717
wert,718
beg,719
castle,720
humour,721
harm,722
least,723
choose,724
order,725
worship,726
tent,727
chamber,728
subject,729
worst,730
form,731
stood,732
prayers,733
consent,734
writ,735
earl,736
match,737
plague,738
blow,739
quarrel,740
mortal,741
weak,742
achilles,743
treason,744
kept,745
buy,746
toward,747
judge,748
receive,749
thither,750
hurt,751
taken,752
lend,753
stop,754
virtuous,755
falstaff,756
short,757
whither,758
bastard,759
piece,760
calls,761
alive,762
vow,763
fine,764
health,765
brief,766
forget,767
faults,768
jove,769
ass,770
cassius,771
titus,772
low,773
beard,774
small,775
breast,776
burn,777
sorry,778
troth,779
third,780
foolish,781
fill,782
forward,783
laid,784
green,785
perceive,786
seal,787
army,788
patient,789
pains,790
anne,791
commend,792
measure,793
iago,794
stir,795
coward,796
fearful,797
prison,798
honesty,799
golden,800
forgot,801
opinion,802
fled,803
obey,804
glory,805
dull,806
trumpet,807
try,808
dispatch,809
harry,810
birth,811
servants,812
alarum,813
troy,814
whence,815
host,816
drawn,817
carry,818
received,819
fresh,820
held,821
wounds,822
among,823
train,824
join,825
safe,826
brook,827
clifford,828
rise,829
thence,830
quite,831
hearing,832
broke,833
greater,834
awake,835
tower,836
macbeth,837
cross,838
shape,839
purse,840
year,841
blame,842
wine,843
manner,844
feed,845
whereof,846
book,847
moved,848
dinner,849
blind,850
pleased,851
perform,852
lived,853
trumpets,854
simple,855
trouble,856
street,857
boys,858
prisoner,859
walls,860
folly,861
hero,862
moor,863
holds,864
powers,865
amen,866
vain,867
desires,868
dauphin,869
salisbury,870
cheer,871
shepherd,872
knowledge,873
smile,874
monster,875
wild,876
steal,877
colour,878
sudden,879
jew,880
taste,881
la,882
hail,883
although,884
demetrius,885
goodly,886
ways,887
scarce,888
princely,889
wits,890
tear,891
towards,892
view,893
yonder,894
aught,895
bones,896
drown,897
widow,898
caius,899
melancholy,900
struck,901
motion,902
brain,903
cunning,904
quiet,905
grows,906
round,907
creature,908
dark,909
several,910
song,911
bearing,912
dance,913
ajax,914
beggar,915
alack,916
valentine,917
forgive,918
jack,919
blows,920
greatness,921
endure,922
terms,923
drop,924
bolingbroke,925
ancient,926
double,927
borne,928
falls,929
proceed,930
approach,931
knock,932
affection,933
rosalind,934
tongues,935
proof,936
cried,937
promised,938
honours,939
courtesy,940
neck,941
camp,942
fellows,943
forbid,944
whiles,945
malice,946
wast,947
kneel,948
marcus,949
juliet,950
blessed,951
keeps,952
seven,953
stars,954
due,955
used,956
wash,957
beast,958
silence,959
choice,960
bond,961
bitter,962
shouldst,963
occasion,964
charles,965
shallow,966
cheeks,967
making,968
embrace,969
citizens,970
liberty,971
wall,972
princess,973
proteus,974
advantage,975
sort,976
rogue,977
edmund,978
safety,979
heels,980
sings,981
excuse,982
owe,983
twice,984
defend,985
wretched,986
cleopatra,987
bianca,988
silvia,989
damned,990
guilty,991
fears,992
wrongs,993
legs,994
precious,995
shore,996
manners,997
private,998
catch,999
brothers,1000
colours,1001
christian,1002
chain,1003
rough,1004
swords,1005
benedick,1006
cheek,1007
weary,1008
foes,1009
wound,1010
prepare,1011
led,1012
large,1013
sharp,1014
depart,1015
thunder,1016
fury,1017
madness,1018
meat,1019
norfolk,1020
lancaster,1021
fail,1022
quoth,1023
wealth,1024
sometime,1025
courage,1026
steel,1027
fame,1028
pure,1029
athens,1030
fought,1031
drunk,1032
secret,1033
kent,1034
throne,1035
clear,1036
story,1037
food,1038
pain,1039
cruel,1040
deserve,1041
effect,1042
follows,1043
forest,1044
request,1045
desdemona,1046
post,1047
rude,1048
anger,1049
thief,1050
fat,1051
summer,1052
nose,1053
monstrous,1054
practise,1055
thrice,1056
silver,1057
oaths,1058
claim,1059
idle,1060
foe,1061
vi,1062
fain,1063
study,1064
becomes,1065
bestow,1066
remain,1067
dishonour,1068
lover,1069
reasons,1070
dry,1071
finger,1072
loud,1073
following,1074
sometimes,1075
shadow,1076
church,1077
vows,1078
niece,1079
pericles,1080
lavinia,1081
spend,1082
paid,1083
wood,1084
proclaim,1085
knee,1086
wives,1087
gift,1088
bishop,1089
helen,1090
priest,1091
gain,1092
ones,1093
tune,1094
montague,1095
hastings,1096
breathe,1097
betwixt,1098
demand,1099
called,1100
wicked,1101
crowns,1102
sooner,1103
swift,1104
possess,1105
subjects,1106
fiend,1107
warlike,1108
mayst,1109
discourse,1110
lawful,1111
meaning,1112
winter,1113
remembrance,1114
senators,1115
flowers,1116
coriolanus,1117
feet,1118
heat,1119
stain,1120
brow,1121
spent,1122
encounter,1123
bow,1124
always,1125
forsworn,1126
argument,1127
hit,1128
natural,1129
leaves,1130
instant,1131
dreadful,1132
humbly,1133
storm,1134
tybalt,1135
lucentio,1136
percy,1137
cries,1138
horses,1139
bright,1140
consider,1141
leisure,1142
giving,1143
red,1144
desperate,1145
repent,1146
aid,1147
lo,1148
proper,1149
spare,1150
weeping,1151
lovers,1152
octavius,1153
offend,1154
ease,1155
dust,1156
rose,1157
beyond,1158
easy,1159
broken,1160
reverend,1161
possible,1162
traitors,1163
protector,1164
thinks,1165
ship,1166
officers,1167
forbear,1168
humble,1169
goodness,1170
evil,1171
charity,1172
deserved,1173
dromio,1174
seat,1175
envy,1176
wench,1177
rare,1178
stuff,1179
thrive,1180
list,1181
officer,1182
six,1183
nine,1184
abroad,1185
sigh,1186
wanton,1187
saying,1188
therein,1189
trial,1190
rain,1191
wait,1192
ghost,1193
shut,1194
stones,1195
remedy,1196
buried,1197
peter,1198
tyrant,1199
self,1200
othello,1201
spring,1202
betray,1203
asleep,1204
deal,1205
bids,1206
mend,1207
doors,1208
teeth,1209
deceived,1210
kindness,1211
fond,1212
jewel,1213
happiness,1214
freely,1215
richmond,1216
cupid,1217
leonato,1218
gallant,1219
countenance,1220
able,1221
ransom,1222
undone,1223
grown,1224
spite,1225
begins,1226
protest,1227
mere,1228
visit,1229
daughters,1230
mirth,1231
sign,1232
wretch,1233
wrath,1234
former,1235
fancy,1236
lands,1237
stone,1238
voices,1239
venice,1240
spoken,1241
meeting,1242
clouds,1243
hopes,1244
condition,1245
denied,1246
single,1247
perfect,1248
knees,1249
public,1250
griefs,1251
wings,1252
humphrey,1253
girl,1254
heavenly,1255
sits,1256
horns,1257
romans,1258
hermia,1259
beatrice,1260
toby,1261
northumberland,1262
credit,1263
streets,1264
durst,1265
shed,1266
vengeance,1267
search,1268
dearest,1269
learned,1270
doom,1271
flight,1272
realm,1273
affairs,1274
number,1275
seeing,1276
flies,1277
nought,1278
gate,1279
tomb,1280
authority,1281
weigh,1282
slender,1283
ducats,1284
tribunes,1285
lysander,1286
petruchio,1287
camillo,1288
blest,1289
bought,1290
hanged,1291
bardolph,1292
damn,1293
slander,1294
suddenly,1295
spake,1296
gross,1297
swore,1298
counterfeit,1299
appears,1300
flatter,1301
lieutenant,1302
guess,1303
intend,1304
faces,1305
minds,1306
delight,1307
burgundy,1308
cure,1309
innocent,1310
served,1311
provost,1312
bottom,1313
beloved,1314
trick,1315
cursed,1316
tree,1317
vice,1318
villany,1319
seeming,1320
gown,1321
warm,1322
vouchsafe,1323
winds,1324
c,1325
george,1326
estate,1327
blush,1328
greatest,1329
despair,1330
empress,1331
bade,1332
particular,1333
andronicus,1334
knife,1335
womb,1336
tidings,1337
early,1338
plot,1339
top,1340
pound,1341
convey,1342
wake,1343
breed,1344
render,1345
turns,1346
sickness,1347
quality,1348
absence,1349
rule,1350
exeter,1351
cease,1352
slaughter,1353
obedience,1354
thomas,1355
throat,1356
sighs,1357
heed,1358
sum,1359
enjoy,1360
virtues,1361
brings,1362
meant,1363
table,1364
sail,1365
perchance,1366
posthumus,1367
bassanio,1368
pyramus,1369
capulet,1370
tranio,1371
ride,1372
deadly,1373
empty,1374
contempt,1375
kinsman,1376
neighbour,1377
rascal,1378
assure,1379
slow,1380
dread,1381
ends,1382
challenge,1383
intent,1384
ambition,1385
wont,1386
modesty,1387
satisfied,1388
frown,1389
glass,1390
commission,1391
helena,1392
stranger,1393
egypt,1394
jealous,1395
aufidius,1396
mortimer,1397
supper,1398
names,1399
darest,1400
hollow,1401
forsooth,1402
employ,1403
villains,1404
bend,1405
except,1406
triumph,1407
ignorant,1408
gifts,1409
reign,1410
contrary,1411
success,1412
express,1413
plead,1414
followers,1415
seas,1416
bark,1417
custom,1418
arthur,1419
portia,1420
hortensio,1421
twelve,1422
prize,1423
sack,1424
merit,1425
outward,1426
garments,1427
tedious,1428
wide,1429
undertake,1430
season,1431
raise,1432
puts,1433
bare,1434
quit,1435
ruin,1436
hereafter,1437
angel,1438
painted,1439
herald,1440
naked,1441
hie,1442
entertain,1443
shot,1444
sacred,1445
memory,1446
offended,1447
perhaps,1448
despite,1449
resolved,1450
parted,1451
reputation,1452
pisanio,1453
baptista,1454
roderigo,1455
knights,1456
beaten,1457
plantagenet,1458
loose,1459
bodies,1460
lovely,1461
crack,1462
conduct,1463
fish,1464
sooth,1465
mars,1466
main,1467
cap,1468
lock,1469
fairly,1470
maiden,1471
victory,1472
orleans,1473
devise,1474
armour,1475
repair,1476
crave,1477
equal,1478
drops,1479
divine,1480
sides,1481
dares,1482
agamemnon,1483
lust,1484
gentlewoman,1485
sleeps,1486
abused,1487
rank,1488
horatio,1489
ariel,1490
blunt,1491
thieves,1492
skill,1493
behalf,1494
flood,1495
hid,1496
shortly,1497
smiles,1498
assured,1499
liest,1500
flower,1501
constant,1502
utter,1503
knowing,1504
thrust,1505
according,1506
glorious,1507
dying,1508
fits,1509
maintain,1510
limbs,1511
fatal,1512
sheep,1513
william,1514
ladyship,1515
condemn,1516
degree,1517
execution,1518
methought,1519
blessing,1520
treasure,1521
clown,1522
hugh,1523
disposition,1524
maids,1525
imogen,1526
civil,1527
sleeping,1528
cup,1529
tarry,1530
sees,1531
knaves,1532
smell,1533
taught,1534
aim,1535
sirs,1536
runs,1537
device,1538
fiery,1539
burning,1540
tempest,1541
dearly,1542
friendship,1543
salt,1544
add,1545
garden,1546
root,1547
brows,1548
unknown,1549
graces,1550
desert,1551
dreams,1552
orlando,1553
capitol,1554
whore,1555
laertes,1556
hubert,1557
banquo,1558
katharina,1559
malvolio,1560
bred,1561
prisoners,1562
monsieur,1563
tread,1564
policy,1565
revenged,1566
pair,1567
bind,1568
dagger,1569
afraid,1570
woes,1571
reverence,1572
frame,1573
speaking,1574
press,1575
dogs,1576
attended,1577
odds,1578
finds,1579
party,1580
discover,1581
bury,1582
brains,1583
prevail,1584
alike,1585
belike,1586
misery,1587
profit,1588
changed,1589
chide,1590
advice,1591
fate,1592
haply,1593
cave,1594
thinking,1595
sorrows,1596
fathers,1597
lewis,1598
displeasure,1599
bawd,1600
apt,1601
catesby,1602
julia,1603
month,1604
drums,1605
revolt,1606
hazard,1607
stomach,1608
iron,1609
midnight,1610
grey,1611
account,1612
seest,1613
regard,1614
mischief,1615
bird,1616
weight,1617
apart,1618
retire,1619
wither,1620
greet,1621
impossible,1622
violent,1623
minister,1624
solemn,1625
sore,1626
advise,1627
constable,1628
charmian,1629
sends,1630
tut,1631
henceforth,1632
shine,1633
cost,1634
peril,1635
temper,1636
prepared,1637
sway,1638
witch,1639
sounds,1640
deer,1641
bounty,1642
winchester,1643
star,1644
grieve,1645
wants,1646
yond,1647
perforce,1648
fairest,1649
duchess,1650
creatures,1651
tells,1652
native,1653
banished,1654
aeneas,1655
oxford,1656
pour,1657
trade,1658
cell,1659
tamora,1660
aaron,1661
fairy,1662
inform,1663
chaste,1664
saved,1665
debt,1666
faint,1667
unhappy,1668
ripe,1669
hangs,1670
darkness,1671
devils,1672
clothes,1673
favours,1674
forces,1675
delay,1676
fingers,1677
staff,1678
fierce,1679
isle,1680
disgrace,1681
countrymen,1682
places,1683
peers,1684
babe,1685
unnatural,1686
conceit,1687
necessity,1688
surely,1689
months,1690
bite,1691
praised,1692
sentence,1693
commanded,1694
weeds,1695
figure,1696
heartily,1697
enobarbus,1698
lucilius,1699
emilia,1700
marina,1701
armed,1702
council,1703
lean,1704
pause,1705
line,1706
marks,1707
prey,1708
gaunt,1709
amazed,1710
killed,1711
earnest,1712
wears,1713
kisses,1714
ignorance,1715
banishment,1716
remains,1717
big,1718
tide,1719
v,1720
infinite,1721
suspect,1722
govern,1723
hateful,1724
mistake,1725
image,1726
stroke,1727
wreck,1728
hardly,1729
confirm,1730
picture,1731
sell,1732
virgin,1733
sold,1734
habit,1735
weapons,1736
firm,1737
minute,1738
slew,1739
modest,1740
complexion,1741
lear,1742
padua,1743
edge,1744
smooth,1745
amongst,1746
proved,1747
deserves,1748
nobility,1749
east,1750
hill,1751
pistol,1752
chair,1753
companion,1754
difference,1755
reward,1756
draws,1757
sky,1758
wrought,1759
joan,1760
katharine,1761
ambitious,1762
nobles,1763
dumb,1764
object,1765
instrument,1766
disguised,1767
benefit,1768
arise,1769
unworthy,1770
bride,1771
entertainment,1772
avoid,1773
murderer,1774
monument,1775
willing,1776
waste,1777
ephesus,1778
edgar,1779
vincentio,1780
wales,1781
north,1782
hal,1783
sayest,1784
cat,1785
leg,1786
rob,1787
disdain,1788
sink,1789
stays,1790
reading,1791
hercules,1792
forced,1793
mouths,1794
bent,1795
slept,1796
